거래금액,거래유형,건물면적,건물주용도,건축년도,년,대지면적,법정동,시군구,용도지역,월,유형,일,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"32,000",중개거래,55.53,제2종근린생활,1991,2023,,청운동,종로구,제2종일반주거,8,집합,14,"서울 종로구, 서울 중구",7*,11110,5,,
"80,000",중개거래,82.27,제1종근린생활,1991,2023,,청운동,종로구,제2종일반주거,8,집합,14,"서울 종로구, 서울 중구",7*,11110,1,,
"360,000",직거래,302.88,제2종근린생활,1972,2023,198.3,통인동,종로구,제2종일반주거,8,일반,20,,1**,11110,,,
"125,000",중개거래,108.69,제2종근린생활,1974,2023,76,누하동,종로구,제2종일반주거,8,일반,1,서울 중구,9*,11110,,,
"10,000",중개거래,20.18,제2종근린생활,2004,2023,,내수동,종로구,준주거,8,집합,26,서울 종로구,7*,11110,,,
"60,000",중개거래,59.04,제2종근린생활,2005,2023,,신문로1가,종로구,일반상업,8,집합,4,서울 종로구,1**,11110,,,
"66,000",직거래,18.98,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,1,,
"64,000",직거래,18.31,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,1,,
"59,000",직거래,16.87,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,1,,
"113,000",직거래,28.07,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,1,,
"65,000",직거래,18.6,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,1,,
"62,000",직거래,17.86,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,1,,
"57,000",직거래,16.37,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,1,,
"109,000",직거래,27.08,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,1,,
"231,000",직거래,122.6,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,2,,
"338,000",직거래,161.65,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,2,,
"1,340,000",직거래,641.1,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,2,,
"149,300",직거래,101.97,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,3,,
"239,400",직거래,163.51,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,3,,
"2,339,800",직거래,1119.28,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,3,,
"2,200,400",직거래,1052.6,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,4,,
"2,200,400",직거래,1052.6,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,5,,
"2,232,800",직거래,1068.14,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,6,,
"2,232,800",직거래,1068.14,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,7,,
"2,233,300",직거래,1068.2,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,8,,
"2,233,300",직거래,1068.2,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,9,,
"2,232,800",직거래,1068.14,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,10,,
"2,232,800",직거래,1068.14,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,11,,
"2,233,300",직거래,1068.2,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,12,,
"2,233,300",직거래,1068.2,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,13,,
"2,233,300",직거래,1068.2,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,14,,
"2,232,800",직거래,1068.14,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,15,,
"2,232,800",직거래,1068.14,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,16,,
"2,233,300",직거래,1068.2,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,17,,
"2,233,300",직거래,1068.2,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,18,,
"2,232,800",직거래,1068.14,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,19,,
"2,232,800",직거래,1068.14,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,20,,
"2,228,900",직거래,1066.17,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,21,,
"2,228,900",직거래,1066.17,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,22,,
"2,228,900",직거래,1066.11,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,23,,
"2,228,900",직거래,1066.11,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,24,,
"56,000",직거래,67.76,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,,,
"234,000",직거래,280.11,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,,,
"114,000",직거래,136.39,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,,,
"290,000",직거래,346.47,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,,,
"135,000",직거래,160.56,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,,,
"74,000",직거래,88.32,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,,,
"12,600",직거래,35.84,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,,,
"34,000",직거래,97.69,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,,,
"12,600",직거래,35.84,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,,,
"34,000",직거래,97.69,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,,,
"12,600",직거래,35.84,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,,,
"34,000",직거래,97.69,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,,,
"12,600",직거래,35.84,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,,,
"30,200",직거래,87.65,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,,,
"219,000",직거래,78.66,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,1,,
"648,000",직거래,232.65,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,1,,
"44,000",직거래,12.04,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,1,,
"40,000",직거래,11.38,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,1,,
"44,000",직거래,12.64,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,1,,
"53,000",직거래,15.33,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,1,,
"62,000",직거래,17.84,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,1,,
"41,000",직거래,11.8,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,1,,
"42,000",직거래,12.05,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,1,,
"43,000",직거래,12.31,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,1,,
"41,000",직거래,11.72,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,1,,
"45,000",직거래,12.26,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,1,,
"448,000",직거래,135.37,제1종근린생활,2015,2023,,청진동,종로구,일반상업,8,집합,16,,1**,11110,1,,
"12,000",직거래,10.52,제1종근린생활,1992,2023,,인사동,종로구,일반상업,8,집합,25,,4*,11110,1,,
"240,000",중개거래,152.85,제2종근린생활,1991,2023,88.4,삼청동,종로구,제1종일반주거,8,일반,1,"서울 강남구, 서울 종로구",1*,11110,,,
"300,000",중개거래,91.07,제1종근린생활,1992,2023,129.6,화동,종로구,제1종일반주거,8,일반,30,서울 마포구,2*,11110,,,
"1,400,000",중개거래,1113.6,제1종근린생활,1999,2023,746,가회동,종로구,제1종일반주거,8,일반,30,서울 종로구,*,11110,,,
"80,000",중개거래,16.53,제1종근린생활,1960,2023,29.8,장사동,종로구,일반상업,8,일반,21,서울 종로구,4*,11110,,,
"31,855",직거래,10.68,제1종근린생활,1958,2023,9.16,종로5가,종로구,일반상업,8,일반,14,,4**,11110,,,
"192,000",중개거래,105.78,제1종근린생활,,2023,63.5,종로5가,종로구,일반상업,8,일반,25,경기 양평군,3**,11110,,,
"22,500",중개거래,10.88,판매,1973,2023,,종로6가,종로구,일반상업,8,집합,16,"경기 남양주시, 서울 종로구",2**,11110,10,,
"19,000",중개거래,8.66,판매,1973,2023,,종로6가,종로구,일반상업,8,집합,16,"경기 남양주시, 서울 종로구",2**,11110,12,,
"22,500",중개거래,10.88,판매,1973,2023,,종로6가,종로구,일반상업,8,집합,16,"경기 남양주시, 서울 종로구",2**,11110,10,,
"19,000",중개거래,8.66,판매,1973,2023,,종로6가,종로구,일반상업,8,집합,16,"경기 남양주시, 서울 종로구",2**,11110,12,,
"740,000",직거래,382.22,제2종근린생활,1980,2023,377.3,동숭동,종로구,제3종일반주거,8,일반,22,,*,11110,,,
"220,000",중개거래,232.12,제2종근린생활,2010,2023,112.4,동숭동,종로구,제1종일반주거,8,일반,25,서울 강남구,5*,11110,,23.09.14,O
"220,000",중개거래,232.12,제2종근린생활,2010,2023,112.4,동숭동,종로구,제1종일반주거,8,일반,25,서울 강남구,5*,11110,,,
"85,536",중개거래,29.18,판매,,2023,58.93,혜화동,종로구,제2종일반주거,8,일반,14,서울 종로구,7*,11110,,,
"76,000",직거래,29.18,제1종근린생활,,2023,58.93,혜화동,종로구,제2종일반주거,8,일반,23,,7*,11110,,,
"56,500",중개거래,34.03,판매,2017,2023,,교북동,종로구,일반상업,8,집합,25,서울 종로구,1**,11110,41,,
"95,000",중개거래,136.59,제2종근린생활,1997,2023,,평창동,종로구,제2종일반주거,8,집합,8,서울 종로구,5**,11110,,,
